Country Code,Country,Year,PV cumulative capacity (MW),Last year's PV cumulative capacity (MW),PV added capacity (MW),Solar PV Module Cost (2019 US$ per W),Population,Land area (km^2),Urban land area (km^2),Rural land area (km^2),Agricultural land (km^2),Forest area (km^2),Public Investments in solar energy (2019 million USD),KOFGI,GDP (current US$),GNI (current US$),Access to electricity (% of population),Primary education,Secondary education,Tertiary education,"Average Theoretical potential (GHI, kWh/m2/day), long-term",Research and development expenditure (% of GDP),Investment in energy with private participation (current US$),Gini index (World Bank estimate),Ease of doing business rank (1=most business-friendly regulations),Duration of compulsory education (years),Labor force,Total unemployment,"Agriculture, forestry, and fishing, value added (current US$)","Manufacturing, value added (current US$)","Industry (including construction), value added (current US$)",electricity net generation (billion kWh),electricity net consumption (billion kWh),nuclear electricity net generation (billion kWh),fossil fuels electricity net generation (billion kWh),Cloud coverage (%),Daylight hours (min/day),Precipitation,Snowfall (mm/h),Temperature (C)
ALB,Albania,2009,0.3,0.2,0.1,2.386939983,2927519,27400,1689.403809,26686.71094,12013,7807.93,,67.28897858,12044208086,11852739421,100,2725653.7088,2508737.1749,977368.36195,4.2,,664000000,,,8,1236994,169097.08079,2022750508,626007469.1,2940446271,5.20187,4.35187,0,0.00087,52.85840775,732.05711148,0.1753750077,0.0160433883,13.400610758
ALB,Albania,2010,0.4,0.3,0.1,2.04475,2913021,27400,1689.403809,26686.71094,12013,7820.7,,68.84073639,11926922829,11807765688,100,2723397.05,2566484.8021,1297729.0533,4.2,,28000000,,,8,1246913,175690.04357,2141582328,650270789.8,2974271840,7.49277,3.39577,0,0.00094,53.560772333,732.05325057,0.2209929151,0.0191419088,13.318247883
ALB,Albania,2011,0.564,0.4,0.164,1.67725,2905195,27400,1689.403809,26686.71094,12010,7834.935,,65.15506744,12890764531,12894104016,100,2760111.9042,2608811.5597,1449073.506,4.2,,19560000,,,8,1367478,184336.02811,2349572529,729861897.1,3156236434,4.14694,5.44294,0,0.05546,41.3501195,732.04936991,0.0977588868,0.0073529463,13.250065417
ALB,Albania,2012,0.679,0.564,0.115,0.876416667,2900401,27400,1689.403809,26686.71094,12013,7849.17,,62.67644119,12319830437,12228065466,99.9,2830360.051,2676775.2413,1718545.9007,4.2,,1504400000,29,,9,1312423,175602.19884,2312038172,568493365.9,2823526911,4.67865,4.65865,0,0,41.905776333,731.83012854,0.1605434957,0.0171877406,13.641618392
ALB,Albania,2013,0.758,0.679,0.079,0.696333333,2895092,27400,1689.403809,26686.71094,11873,7863.405,,65.51389313,12776220507,12996539294,100,2894626.1684,2786702.0898,1871226.2101,4.2,,19400000,,,9,1216267,193021.57156,2499687705,646451378.5,2946364693,6.89041,5.90741,0,0,47.176335833,732.05665699,0.1664149003,0.0100793752,13.756353392
ALB,Albania,2014,0.874,0.758,0.116,0.6415,2889104,27400,1689.403809,26686.71094,11742.9,7877.64,,67.68969727,13228147516,13349419700,99.95,3007789.5451,2822217.4247,1900538.3196,4.2,,177300000,34.6,,9,1246721,225033.13102,2644330679,704503223.4,2845221843,4.67776,4.96176,0,0,51.284624833,732.05267919,0.1627086667,0.0075062894,13.71113575
ALB,Albania,2015,1.05,0.874,0.176,0.5965,2880703,27400,1689.403809,26686.71094,11743,7891.875,,68.4393158,11386850130,11521808375,99.98,3040379.6874,2805472.8979,1786255.4206,4.2,,,32.9,,9,1300316,223524.32729,2252343371,645807416.1,2478197738,5.83705,5.04005,0,0,44.26500125,732.04866928,0.1328568773,0.0093585029,13.825024167
ALB,Albania,2016,1,1.05,-0.05,0.5505,2876101,27400,1689.403809,26686.71094,11817,7891.8,,65.90834045,11861199831,12053832974,99.89,3035835.7237,2752859.9669,1679121.0062,4.2,,,33.7,,9,1345277,207441.71448,2354447510,674241295.3,2507690759,7.70618,5.67858,0,0,49.385793167,731.82918343,0.1766118761,0.0052282891,13.755074517
ALB,Albania,2017,1,1,0,0.462166667,2873457,27400,1689.403809,26686.71094,11691.81,7889.025,0.11,66.48336029,13019689337,13051480688,99.89,3075938.0296,2737424.4431,1648653.4075,4.2,,,33.2,,9,1367557,186261.2619,2476624685,801771620.5,2650596138,4.48075,6.11975,0,0,42.388664125,732.05568812,0.1336199894,0.008235222,13.6629866
ALB,Albania,2018,1,1,0,0.4115,2866376,27400,1689.403809,26686.71094,11740.81,7889,,66.12162018,15156432310,15137993151,100,3066833.8128,2735449.3251,1575398.3842,4.2,,,,,9,1399364,172121.77466,2793251547,929583699.1,3225183629,8.46748,6.43948,0,0,51.935363917,732.05162424,0.1747390237,0.0146813119,14.291641117
ALB,Albania,2019,14,1,13,0.37725,2854191,27400,1689.403809,26686.71094,,7889,,66.33827209,15400242875,15198661275,100,2991555.692,2713952.9976,1706192.5555,4.2,,,,82,9,1421853,163086.54294,2832296169,964189609.9,3173722904,5.17594,6.52798,0,0,46.36051025,732.04756478,0.1489109785,0.0086988303,14.09884275
ALB,Albania,2020,16.85,14,2.85,,2837743,27400,1689.403809,26686.71094,,7889,,,14887629268,14637399665,,2842053.9998,2675433.3753,1640588.3581,4.2,,,,,9,1357322,180917.45576,2846806903,921495812.2,2986852462,,,0,,44.741343083,731.82791202,0.1314846539,0.0059244821,13.929168308
DZA,Algeria,2000,0,,,4.879966188,31042238,2381740,30195.79688,2285675.75,400210,15790,,47.94263077,54790392746,52080372257,,32645541.468,20213768.379,,5.92,,,,,10,8932727,2659272.869,4599680042,24644936606,25339743130,23.88952,19.71552,0,23.83652,20.238194617,729.40494212,0.0049424132,6.6626892e-6,23.283862667
DZA,Algeria,2001,0,0,0,4.773879966,31451513,2381740,30195.79688,2285675.75,401090,16129,0.81,49.38338852,54744712815,53138729521,,32716397.869,21644923.953,4923359.9456,5.92,0.23028,,,,10,9159728,2500605.6744,5337291977,22025875801,22782619957,25.03064,20.64764,0,24.96264,21.952327917,729.54092626,0.0056136426,0.0001302739,24.08831725
DZA,Algeria,2002,0,0,0,4.031276416,31855110,2381740,30195.79688,2285675.75,398550,16468,0.31,48.69605637,56760355865,54533965681,,33493249.889,22919405.562,5533602.2887,5.92,0.36639,,,,10,9373599,2427762.1054,5236132673,22008109746,22772925846,25.99154,21.62354,0,25.93554,23.1383955,729.53847016,0.0069388379,0.0000196374,23.801330917
DZA,Algeria,2003,0,0,0,3.978233305,32264159,2381740,30195.79688,2285675.75,399057,16807,0.09,49.69960403,67863828413,65345073971,,34176375.108,23908986.877,5994019.1721,5.92,0.19622,,,,10,9578796,2272090.3451,6657820273,27868311906,28739078752,27.80964,23.61164,0,27.54764,26.630991417,729.53603164,0.0105780952,0.0003364139,23.770641083
DZA,Algeria,2004,0,0,0,4.137362637,32692153,2381740,30195.79688,2285675.75,411450,17146,,50.80677032,85332581189,81732028321,,34945916.682,25339030.018,6260357.6131,5.92,0.16357,562000000,,,10,9779482,1726078.5358,8055803032,36560839072,37579731504,29.38706,24.42506,0,29.13906,26.274279417,729.40425672,0.0104483873,0.0001853439,23.429909792
DZA,Algeria,2005,0,0,0,4.243448859,33149720,2381740,30195.79688,2285675.75,412110,17485,,53.31550598,103198000000,98106140730,,35664490.146,26184702.621,6919294.6294,5.92,0.06604,400000000,,,10,9975538,1523264.6985,7937300328,50357973861,51465098538,31.9074,27.5164,0,31.3584,26.246750083,729.54042874,0.0081910483,0.0002767515,23.810348083
DZA,Algeria,2006,0,0,0,4.455621302,33641007,2381740,30195.79688,2285675.75,411810,17824,,54.22653961,117027000000,112502000000,,36384959.419,26873960.03,7178263.9554,5.92,,2320000000,,,10,10155998,1246141.0013,8827460611,58372545997,59628502917,33.12352,26.91052,0,32.90752,26.68960625,729.53805387,0.0099667489,0.0002559382,23.767734667
DZA,Algeria,2007,0,0,0,4.137362637,34166976,2381740,30195.79688,2285675.75,412520,18163,,55.46308136,134977000000,133142000000,,37423672.316,24024118.998,8063860.6884,5.92,,,,,10,10324354,1423728.4125,10218609833,64520553481,65939424814,34.9758,28.3348,0,34.7518,21.767869083,729.53569452,0.0079968866,0.0000477661,23.661475167
DZA,Algeria,2008,0,0,0,3.447802198,34730604,2381740,30195.79688,2285675.75,413090,18502,,55.95114517,171001000000,169666000000,99.3,37936576.435,26638748.47,,5.92,,,,,10,10482036,1187614.6704,11263262045,83713016469,85428101600,37.83582,30.49982,0,37.55582,23.396884,729.40389411,0.0093129641,0.0001562728,23.56088725
DZA,Algeria,2009,0,0,0,2.386939983,35333882,2381740,30195.79688,2285675.75,413800,18841,2.16,56.57330322,137211000000,135806000000,98.81757355,39700786.088,32817343.037,10568145.022,5.92,,350000000,,,10,10629401,1079947.1257,12820128456,49216971289,50652205034,36.206,28.315,0,35.903,26.678040333,729.54022517,0.0105817653,0.0001481772,23.707825333
DZA,Algeria,2010,0,0,0,2.04475,35977451,2381740,30195.79688,2285675.75,413740,19180,0.25,57.01707458,161207000000,160762000000,98.82183838,41495520.538,34875561.963,10753454.705,5.92,,,,,10,10912087,1086843.8693,13648522571,62927647676,64498198586,42.9985,33.8405,0,42.8264,27.337135,729.53787588,0.0080700781,0.0000734156,24.895369875
DZA,Algeria,2011,0,0,0,1.67725,36661438,2381740,30195.79688,2285675.75,413880,19256,,56.49901581,200013000000,197969000000,98.84799194,42735471.759,36520052.933,11443534.381,5.92,,,27.6,,10,10675639,1063293.6485,16222238370,79192175810,80976543059,48.17578,38.13478,0,47.67868,24.409624333,729.53551583,0.0100373521,0.000088921,23.70451325
DZA,Algeria,2012,0,0,0,0.876416667,37383899,2381740,30195.79688,2285675.75,413981.9,19332,,55.80619431,209059000000,206411000000,98.76466047,44142754.59,,12038187.624,5.92,,30300000,,,10,11356926,1245854.8129,18335908481,78938712340,80812719253,53.9846,42.8676,0,53.3685,26.088599167,729.40361814,0.0090568132,0.0003712571,23.63241425
DZA,Algeria,2013,0,0,0,0.696333333,38140135,2381740,30195.79688,2285675.75,414316.35,19408,0.01,55.72958374,209755000000,205600000000,98.97725677,45592458.751,,12926069.8,5.92,,,,,10,11876807,1166302.4112,20663211051,70370487499,72318517193,56.3135,45.2015,0,55.9864,22.36883775,729.53996535,0.0084821958,0.0001565796,23.74299325
DZA,Algeria,2014,1.1,0,1.1,0.6415,38923688,2381740,30195.79688,2285675.75,414310,19484,0.03,56.19609833,213810000000,208874000000,99.07403564,46125663.101,,13421595.703,5.92,,,,,10,11489980,1173126.9626,21993348143,66144342819,68200498889,60.40082,49.20682,0,60.14872,22.217789292,729.53754482,0.0089464128,0.0000878232,24.223875667
DZA,Algeria,2015,49.1,1.1,48,0.5965,39728020,2381741,30195.79688,2285675.75,414564,19560,0.16,56.51216125,165979000000,161667000000,99.18688965,46035970.696,,14612489.634,5.92,,,,,10,11813561,1324300.1928,19218254985,38462539998,40257797587,64.68244,53.45544,0,64.46144,24.659989833,729.5351042,0.0086491557,0.0002110612,23.84635675
DZA,Algeria,2016,219.1,49.1,170,0.5505,40551398,2381741,30195.79688,2285675.75,413602,19560,0.15,55.926754,160034000000,158474000000,99.40287018,46159737.527,,17286594.233,5.92,,,,,10,12032169,1227281.2151,19556326529,34702900411,36593581505,66.75504,55.82304,0,66.42322,26.500354292,729.40305313,0.0076980101,0.0000851775,24.66076825
DZA,Algeria,2017,400,219.1,180.9,0.462166667,41389174,2381741,30195.79688,2285675.75,413351.408,19430,,55.8823204,170097000000,167559000000,99.61513519,46258395.346,,19720629.999,5.92,0.54297,,,,10,12184474,1259021.7204,19996440576,40685373920,42716976201,71.49546,60.28346,0,70.86002,23.300537708,729.53938321,0.0070688806,0.0002236994,24.099027417
DZA,Algeria,2018,423,400,23,0.4115,42228415,2381741,30195.79688,2285675.75,413588.47,19300,,55.81468582,174911000000,170507000000,99.641922,46401773.286,,21690907.978,5.92,,,,,10,12330675,1284856.3449,20769269035,46438755749,48541517645,72.10903,62.11403,0,71.3272,25.351724333,729.53690507,0.0108778495,0.0001249493,24.116306208
DZA,Algeria,2019,423,423,0,0.37725,43053054,2381741,30195.79688,2285675.75,,19390,0.04,55.56747055,171767000000,167568000000,99.5,46861461.759,,22654491.919,5.92,,,,157,10,12500369,1314163.7342,21189591265,40986991595,43178203255,76.685,66.646,0,75.848,20.848476333,729.53442906,0.0086765938,0.000109584,23.961123917
DZA,Algeria,2020,423,423,0,,43851043,2381741,30195.79688,2285675.75,,19490,,,145009000000,142065000000,,48797945.288,,23021192.027,5.92,,,,,10,12102616,1518878.331,20496747039,27297857337,29411193531,,,0,,22.049546917,729.40227192,0.0061991821,0.0000211756,24.675031208
,American Samoa,2000,0,,,4.879966188,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,0.14787,0,0.159,,,,,
,American Samoa,2001,0,0,0,4.773879966,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,0.14973,0,0.161,,,,,
,American Samoa,2002,0,0,0,4.031276416,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,0.15624,0,0.168,,,,,
,American Samoa,2003,0,0,0,3.978233305,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.16461,0,0.177,,,,,
,American Samoa,2004,0,0,0,4.137362637,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.16461,0,0.177,,,,,
,American Samoa,2005,0,0,0,4.243448859,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,0.16554,0,0.178,,,,,
,American Samoa,2006,0,0,0,4.455621302,,,,,,,,,,,,,,,,,,,,,,,,,,0.181,0.16833,0,0.181,,,,,
,American Samoa,2007,0,0,0,4.137362637,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,0.17112,0,0.184,,,,,
,American Samoa,2008,0,0,0,3.447802198,,,,,,,,,,,,,,,,,,,,,,,,,,0.187,0.17391,0,0.187,,,,,
,American Samoa,2009,0,0,0,2.386939983,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,0.16554,0,0.178,,,,,
,American Samoa,2010,0,0,0,2.04475,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,0.14787,0,0.159,,,,,
,American Samoa,2011,0,0,0,1.67725,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,0.14415,0,0.155,,,,,
,American Samoa,2012,2.416,0,2.416,0.876416667,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,0.14601,0,0.157,,,,,
,American Samoa,2013,2.416,2.416,0,0.696333333,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.14508,0,0.156,,,,,
,American Samoa,2014,2.416,2.416,0,0.6415,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,0.14508,0,0.156,,,,,
,American Samoa,2015,2.416,2.416,0,0.5965,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.15159,0,0.163,,,,,
,American Samoa,2016,3.826,2.416,1.41,0.5505,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.1581,0,0.17,,,,,
,American Samoa,2017,4.176,3.826,0.35,0.462166667,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.15531,0,0.167,,,,,
,American Samoa,2018,5.066,4.176,0.89,0.4115,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.151,0,0.163,,,,,
,American Samoa,2019,5.066,5.066,0,0.37725,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,0.151,0,0.163,,,,,
,American Samoa,2020,5.066,5.066,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
ADO,Andorra,2000,0,,,4.879966188,,,,,,,,47.56101227,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2001,0,0,0,4.773879966,,,,,,,,45.37554932,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2002,0,0,0,4.031276416,,,,,,,,46.83576202,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2003,0,0,0,3.978233305,,,,,,,,46.70898056,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2004,0,0,0,4.137362637,,,,,,,,49.3375473,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2005,0,0,0,4.243448859,,,,,,,,49.33802032,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2006,0,0,0,4.455621302,,,,,,,,45.09411621,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2007,0,0,0,4.137362637,,,,,,,,46.88705826,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2008,0,0,0,3.447802198,,,,,,,,50.95691299,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2009,0,0,0,2.386939983,,,,,,,,51.84721375,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2010,0,0,0,2.04475,,,,,,,,51.60695648,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2011,0,0,0,1.67725,,,,,,,,47.7252388,,,,,,,,,,,,,,,,,,,,,,,,,,
ADO,Andorra,2012,0,0,0,0.876416667,,,,,,,,49.34399033,,,,,,,,,,,,,,,,,,,,,,,,,,
